Month,simple-java-mail,clustered-object-pool,email-rfc2822-validator,generic-object-pool,java-socks-proxy-server,java-utils-mail-dkim,java-utils-mail-smime,outlook-message-parser,rtf-to-html,simplejavamail.org,smtp-connection-pool,total-active-project-weeks
2023-12,2,0,0,0,1,0,1,2,0,1,0,7
2024-01,2,0,0,0,1,1,1,1,0,0,1,7
2024-02,1,0,0,0,0,0,0,0,0,0,0,1
2024-03,3,0,0,0,1,0,1,2,0,2,0,9
2024-04,4,1,0,1,2,1,3,2,0,2,1,17
2024-05,3,2,0,4,2,0,1,1,1,0,1,15
2024-06,1,1,0,0,0,0,0,3,1,0,1,7
2024-07,0,0,0,0,0,0,0,0,0,0,0,0
2024-08,0,0,0,0,0,0,0,0,0,0,0,0
2024-09,3,1,0,1,2,0,0,0,0,1,1,9
2024-10,1,0,0,0,0,0,0,0,0,0,0,1
2024-11,2,0,0,0,0,0,0,0,0,0,0,2
2024-12,1,0,0,0,0,0,0,0,0,0,0,1
2025-01,1,0,0,0,0,1,0,0,0,0,0,2
2025-02,0,0,0,0,0,0,0,0,0,0,0,0
2025-03,1,0,0,0,0,0,1,0,0,0,0,2
2025-04,1,0,0,0,0,1,0,0,0,0,0,2
2025-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,0,0,0,0,0,0,0,1,0,0,0,1
2025-07,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0
2026-01,0,0,0,0,0,0,0,0,0,0,0,0
2026-02,0,0,0,0,0,0,0,0,0,0,0,0
2026-03,1,0,0,0,0,0,0,0,0,0,0,1
2026-04,0,0,0,0,0,0,0,0,0,0,0,0
2026-05,1,0,0,0,0,0,0,0,0,0,0,1
2026-06,1,0,0,0,0,1,0,1,0,0,0,3
2026-07,1,0,1,1,1,1,1,1,1,1,1,10
2026-08,4,0,0,2,1,1,1,2,2,4,2,19
